,Tmc_Image,Tmc_File_Location,Tmc_Corners,Tmc_Polygon,Ohrc_Image,Ohrc_File_Location,Ohrc_Corners,Ohrc_Polygon,Intersecting_Corners,Intersecting_Polygon
0,ch2_tmc_ncn_20191228T1822356184_b_brw_gds.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2019/dir_2019/20191228/ch2_tmc_ncn_20191228T1822356184_b_brw_gds.png,"(array([111.665284,  99.424795, 101.086146, 126.770756, 111.665284]), array([-87.057062, -57.604199, -57.571235, -86.743759, -87.057062]))","SingleSphericalPolygon(array([[-0.0189544 ,  0.04771444, -0.99868116],
       [-0.08773305,  0.52853283, -0.84436719],
       [-0.10311278,  0.52624374, -0.84405881],
       [-0.03400224,  0.04550013, -0.99838549],
       [-0.0189544 ,  0.04771444, -0.99868116]]), array([-0.06311928,  0.29678596, -0.95285574]))",ch2_ohr_ncp_20230818T1143415582_d_img_n18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20230818/ch2_ohr_ncp_20230818T1143415582_b_brw_n18.png,"(array([100.217497, 100.212078, 100.531295, 100.551661, 100.217497]), array([-73.072298, -72.235275, -72.234792, -73.071792, -73.072298]))","SingleSphericalPolygon(array([[-0.05164835,  0.28654733, -0.95667292],
       [-0.05409346,  0.3002756 , -0.95231742],
       [-0.05576703,  0.29997745, -0.95231485],
       [-0.05332022,  0.28624954, -0.95667035],
       [-0.05164835,  0.28654733, -0.95667292]]), array([-0.05370914,  0.29327032, -0.95451969]))","(array([100.531295  , 100.54432483, 100.47295886, 100.531295  ]), array([-72.234792  , -72.77925604, -72.23491886, -72.234792  ]))","[SingleSphericalPolygon(array([[-0.05576703,  0.29997745, -0.95231485],
       [-0.05417672,  0.29105462, -0.95517124],
       [-0.05546119,  0.300032  , -0.95231552],
       [-0.05576703,  0.29997745, -0.95231485]]), array([-0.05529346,  0.29776291, -0.95303719]))]"
1,ch2_tmc_ncf_20200211T2052133793_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200211/ch2_tmc_ncf_20200211T2052133793_b_brw_d18.png,"(array([111.665284,  99.424795, 101.086146, 126.770756, 111.665284]), array([-87.057062, -57.604199, -57.571235, -86.743759, -87.057062]))","SingleSphericalPolygon(array([[-0.0189544 ,  0.04771444, -0.99868116],
       [-0.08773305,  0.52853283, -0.84436719],
       [-0.10311278,  0.52624374, -0.84405881],
       [-0.03400224,  0.04550013, -0.99838549],
       [-0.0189544 ,  0.04771444, -0.99868116]]), array([-0.06311928,  0.29678596, -0.95285574]))",ch2_ohr_ncp_20230818T1143415582_d_img_n18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20230818/ch2_ohr_ncp_20230818T1143415582_b_brw_n18.png,"(array([100.217497, 100.212078, 100.531295, 100.551661, 100.217497]), array([-73.072298, -72.235275, -72.234792, -73.071792, -73.072298]))","SingleSphericalPolygon(array([[-0.05164835,  0.28654733, -0.95667292],
       [-0.05409346,  0.3002756 , -0.95231742],
       [-0.05576703,  0.29997745, -0.95231485],
       [-0.05332022,  0.28624954, -0.95667035],
       [-0.05164835,  0.28654733, -0.95667292]]), array([-0.05370914,  0.29327032, -0.95451969]))","(array([100.531295  , 100.54432483, 100.47295886, 100.531295  ]), array([-72.234792  , -72.77925604, -72.23491886, -72.234792  ]))","[SingleSphericalPolygon(array([[-0.05576703,  0.29997745, -0.95231485],
       [-0.05417672,  0.29105462, -0.95517124],
       [-0.05546119,  0.300032  , -0.95231552],
       [-0.05576703,  0.29997745, -0.95231485]]), array([-0.05529346,  0.29776291, -0.95303719]))]"
2,ch2_tmc_nca_20200211T2052133793_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200211/ch2_tmc_nca_20200211T2052133793_b_brw_d18.png,"(array([104.227661,  99.264444, 100.772545, 111.643896, 104.227661]), array([-83.418996, -53.840672, -53.810054, -83.272275, -83.418996]))","SingleSphericalPolygon(array([[-0.02816778,  0.11109241, -0.99341082],
       [-0.09499018,  0.58233619, -0.80737936],
       [-0.11036399,  0.58005827, -0.80706394],
       [-0.04320971,  0.10889146, -0.99311408],
       [-0.02816778,  0.11109241, -0.99341082]]), array([-0.07164658,  0.35745291, -0.93117892]))",ch2_ohr_ncp_20230818T1143415582_d_img_n18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20230818/ch2_ohr_ncp_20230818T1143415582_b_brw_n18.png,"(array([100.217497, 100.212078, 100.531295, 100.551661, 100.217497]), array([-73.072298, -72.235275, -72.234792, -73.071792, -73.072298]))","SingleSphericalPolygon(array([[-0.05164835,  0.28654733, -0.95667292],
       [-0.05409346,  0.3002756 , -0.95231742],
       [-0.05576703,  0.29997745, -0.95231485],
       [-0.05332022,  0.28624954, -0.95667035],
       [-0.05164835,  0.28654733, -0.95667292]]), array([-0.05370914,  0.29327032, -0.95451969]))","(array([100.45420128, 100.531295  , 100.54850056, 100.45420128]), array([-72.23495598, -72.234792  , -72.94695798, -72.23495598]))","[SingleSphericalPolygon(array([[-0.05536285,  0.30004954, -0.95231572],
       [-0.05576703,  0.29997745, -0.95231485],
       [-0.05368589,  0.28830093, -0.95603368],
       [-0.05536285,  0.30004954, -0.95231572]]), array([-0.05504545,  0.29709867, -0.95325882]))]"
3,ch2_tmc_ncn_20200617T0115145094_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200617/ch2_tmc_ncn_20200617T0115145094_b_brw_d18.png,"(array([234.462133, 235.10755 , 234.645415, 234.100562, 234.462133]), array([30.197245, 30.182662,  0.758574,  0.771915, 30.197245]))","SingleSphericalPolygon(array([[-0.50236591, -0.70330736,  0.50297839],
       [-0.4944849 , -0.70902657,  0.50275839],
       [-0.57858417, -0.81551522,  0.01323923],
       [-0.5863112 , -0.80997388,  0.01347205],
       [-0.50236591, -0.70330736,  0.50297839]]), array([-0.55881483, -0.78518018,  0.26686714]))",ch2_ohr_ncp_20220914T0835371412_d_img_d32.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20220914/ch2_ohr_ncp_20220914T0835371412_b_brw_d32.png,"(array([234.400056, 234.396774, 234.525769, 234.528638, 234.400056]), array([4.74225 , 5.556866, 5.555385, 4.740757, 4.74225 ]))","SingleSphericalPolygon(array([[-0.58012939, -0.81031784,  0.08267341],
       [-0.5794329 , -0.80924704,  0.09683363],
       [-0.57761095, -0.81055155,  0.09680791],
       [-0.57831069, -0.81161946,  0.08264744],
       [-0.58012939, -0.81031784,  0.08267341]]), array([-0.57888509, -0.81045558,  0.08974297]))","(array([234.528638, 234.400056, 234.396774, 234.525769, 234.528638]), array([4.740757, 4.74225 , 5.556866, 5.555385, 4.740757]))","[SingleSphericalPolygon(array([[-0.57831069, -0.81161946,  0.08264744],
       [-0.58012939, -0.81031784,  0.08267341],
       [-0.5794329 , -0.80924704,  0.09683363],
       [-0.57761095, -0.81055155,  0.09680791],
       [-0.57831069, -0.81161946,  0.08264744]]), array([-0.57888685, -0.81045434,  0.08974287]))]"
4,ch2_tmc_ncn_20200617T0115145094_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200617/ch2_tmc_ncn_20200617T0115145094_b_brw_d18.png,"(array([234.462133, 235.10755 , 234.645415, 234.100562, 234.462133]), array([30.197245, 30.182662,  0.758574,  0.771915, 30.197245]))","SingleSphericalPolygon(array([[-0.50236591, -0.70330736,  0.50297839],
       [-0.4944849 , -0.70902657,  0.50275839],
       [-0.57858417, -0.81551522,  0.01323923],
       [-0.5863112 , -0.80997388,  0.01347205],
       [-0.50236591, -0.70330736,  0.50297839]]), array([-0.55881483, -0.78518018,  0.26686714]))",ch2_ohr_ncp_20220914T1033119094_d_img_d32.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20220914/ch2_ohr_ncp_20220914T1033119094_b_brw_d32.png,"(array([234.399628, 234.399943, 234.531158, 234.530436, 234.399628]), array([4.697964, 5.510032, 5.507403, 4.695362, 4.697964]))","SingleSphericalPolygon(array([[-0.58017247, -0.81036522,  0.08190309],
       [-0.57943402, -0.80934317,  0.09602004],
       [-0.57758155, -0.81067162,  0.09597436],
       [-0.57832303, -0.81169068,  0.08185783],
       [-0.58017247, -0.81036522,  0.08190309]]), array([-0.57889183, -0.81053917,  0.08894101]))","(array([234.399628, 234.399943, 234.531158, 234.530436, 234.399628]), array([4.697964, 5.510032, 5.507403, 4.695362, 4.697964]))","[SingleSphericalPolygon(array([[-0.58017247, -0.81036522,  0.08190309],
       [-0.57943402, -0.80934317,  0.09602004],
       [-0.57758155, -0.81067162,  0.09597436],
       [-0.57832303, -0.81169068,  0.08185783],
       [-0.58017247, -0.81036522,  0.08190309]]), array([-0.57889183, -0.81053917,  0.08894101]))]"
5,ch2_tmc_ncn_20200617T0115145094_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200617/ch2_tmc_ncn_20200617T0115145094_b_brw_d18.png,"(array([234.462133, 235.10755 , 234.645415, 234.100562, 234.462133]), array([30.197245, 30.182662,  0.758574,  0.771915, 30.197245]))","SingleSphericalPolygon(array([[-0.50236591, -0.70330736,  0.50297839],
       [-0.4944849 , -0.70902657,  0.50275839],
       [-0.57858417, -0.81551522,  0.01323923],
       [-0.5863112 , -0.80997388,  0.01347205],
       [-0.50236591, -0.70330736,  0.50297839]]), array([-0.55881483, -0.78518018,  0.26686714]))",ch2_ohr_ncp_20220320T2331416822_d_img_d18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20220320/ch2_ohr_ncp_20220320T2331416822_b_brw_d18.png,"(array([234.76799 , 234.758345, 234.620925, 234.630302, 234.76799 ]), array([5.900702, 5.044828, 5.068108, 5.924072, 5.900702]))","SingleSphericalPolygon(array([[-0.57383214, -0.81249484,  0.10280472],
       [-0.57479096, -0.81356178,  0.08793513],
       [-0.57671984, -0.81215164,  0.08833987],
       [-0.57575867, -0.81107926,  0.10321044],
       [-0.57383214, -0.81249484,  0.10280472]]), array([-0.57529164, -0.81234535,  0.0955749 ]))","(array([234.620925  , 234.630302  , 234.71880314, 234.70655149,
       234.620925  ]), array([5.068108  , 5.924072  , 5.90905468, 5.05360581, 5.068108  ]))","[SingleSphericalPolygon(array([[-0.57671984, -0.81215164,  0.08833987],
       [-0.57575867, -0.81107926,  0.10321044],
       [-0.57452077, -0.81198968,  0.10294973],
       [-0.57551837, -0.81303085,  0.08808774],
       [-0.57671984, -0.81215164,  0.08833987]]), array([-0.57563601, -0.81209282,  0.09564741]))]"
6,ch2_tmc_ncn_20200617T0115145094_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200617/ch2_tmc_ncn_20200617T0115145094_b_brw_d18.png,"(array([234.462133, 235.10755 , 234.645415, 234.100562, 234.462133]), array([30.197245, 30.182662,  0.758574,  0.771915, 30.197245]))","SingleSphericalPolygon(array([[-0.50236591, -0.70330736,  0.50297839],
       [-0.4944849 , -0.70902657,  0.50275839],
       [-0.57858417, -0.81551522,  0.01323923],
       [-0.5863112 , -0.80997388,  0.01347205],
       [-0.50236591, -0.70330736,  0.50297839]]), array([-0.55881483, -0.78518018,  0.26686714]))",ch2_ohr_ncp_20220320T2133025866_d_img_d18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20220320/ch2_ohr_ncp_20220320T2133025866_b_brw_d18.png,"(array([234.740791, 234.733485, 234.631671, 234.638794, 234.740791]), array([5.834326, 4.976817, 4.957728, 5.815257, 5.834326]))","SingleSphericalPolygon(array([[-0.57428614, -0.81231905,  0.10165231],
       [-0.57520376, -0.81339696,  0.08675266],
       [-0.57666495, -0.81239707,  0.08642074],
       [-0.57575085, -0.81132297,  0.10132122],
       [-0.57428614, -0.81231905,  0.10165231]]), array([-0.57549264, -0.81238219,  0.09403932]))","(array([234.638794  , 234.7176695 , 234.70537806, 234.631671  ,
       234.638794  ]), array([5.815257  , 5.83000501, 4.97154893, 4.957728  , 5.815257  ]))","[SingleSphericalPolygon(array([[-0.57575085, -0.81132297,  0.10132122],
       [-0.57461833, -0.81209349,  0.10157729],
       [-0.57560732, -0.81312119,  0.08666106],
       [-0.57666495, -0.81239707,  0.08642074],
       [-0.57575085, -0.81132297,  0.10132122]]), array([-0.57565848, -0.81226904,  0.09400176]))]"
7,ch2_tmc_ncn_20200131T1010006367_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200131/ch2_tmc_ncn_20200131T1010006367_b_brw_d18.png,"(array([69.953406, 69.453333, 68.781885, 69.396345, 69.953406]), array([ -1.781802, -32.054427, -32.04291 ,  -1.772419,  -1.781802]))","SingleSphericalPolygon(array([[ 0.34261846,  0.93895995, -0.0310933 ],
       [ 0.29746278,  0.79362918, -0.53072461],
       [ 0.30678127,  0.79018824, -0.53055424],
       [ 0.351733  ,  0.93558926, -0.03092961],
       [ 0.34261846,  0.93895995, -0.0310933 ]]), array([ 0.33637626,  0.89566467, -0.29092235]))",ch2_ohr_ncp_20190906T1246532096_d_img_d18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20190906/ch2_ohr_ncp_20190906T1246532096_b_brw_d18.png,"(array([71.445725, 69.299801, 69.174869, 71.334305, 71.445725]), array([-14.735024, -17.15629 , -16.72985 , -14.323756, -14.735024]))","SingleSphericalPolygon(array([[ 0.30773793,  0.91684452, -0.25434917],
       [ 0.33774962,  0.89381904, -0.2949792 ],
       [ 0.34046887,  0.89510774, -0.28785949],
       [ 0.31009662,  0.91795041, -0.24740077],
       [ 0.30773793,  0.91684452, -0.25434917]]), array([ 0.32421149,  0.90627828, -0.27119475]))","(array([69.174869  , 69.73681983, 69.72775751, 69.299801  , 69.174869  ]), array([-16.72985   , -16.11120305, -16.67985332, -17.15629   ,
       -16.72985   ]))","[SingleSphericalPolygon(array([[ 0.34046887,  0.89510774, -0.28785949],
       [ 0.33273061,  0.90126727, -0.27750251],
       [ 0.33190252,  0.89858673, -0.28702371],
       [ 0.33774962,  0.89381904, -0.2949792 ],
       [ 0.34046887,  0.89510774, -0.28785949]]), array([ 0.3352563 ,  0.89758648, -0.28625467]))]"
8,ch2_tmc_ncf_20200131T1010006367_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200131/ch2_tmc_ncf_20200131T1010006367_b_brw_d18.png,"(array([70.003706, 69.513933, 68.78025 , 69.386657, 70.003706]), array([ -0.480831, -30.722178, -30.708822,  -0.469688,  -0.480831]))","SingleSphericalPolygon(array([[ 0.34194732,  0.93968165, -0.00839199],
       [ 0.30086156,  0.80528773, -0.51087571],
       [ 0.31119157,  0.80148022, -0.51067531],
       [ 0.3520478 ,  0.93594612, -0.00819751],
       [ 0.34194732,  0.93968165, -0.00839199]]), array([ 0.33828836,  0.90182165, -0.26884699]))",ch2_ohr_ncp_20190906T1246532096_d_img_d18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20190906/ch2_ohr_ncp_20190906T1246532096_b_brw_d18.png,"(array([71.445725, 69.299801, 69.174869, 71.334305, 71.445725]), array([-14.735024, -17.15629 , -16.72985 , -14.323756, -14.735024]))","SingleSphericalPolygon(array([[ 0.30773793,  0.91684452, -0.25434917],
       [ 0.33774962,  0.89381904, -0.2949792 ],
       [ 0.34046887,  0.89510774, -0.28785949],
       [ 0.31009662,  0.91795041, -0.24740077],
       [ 0.30773793,  0.91684452, -0.25434917]]), array([ 0.32421149,  0.90627828, -0.27119475]))","(array([69.174869  , 69.76983931, 69.76083474, 69.299801  , 69.174869  ]), array([-16.72985   , -16.07468402, -16.64289209, -17.15629   ,
       -16.72985   ]))","[SingleSphericalPolygon(array([[ 0.34046887,  0.89510774, -0.28785949],
       [ 0.33227225,  0.90162465, -0.27689011],
       [ 0.33144769,  0.89895173, -0.2864057 ],
       [ 0.33774962,  0.89381904, -0.2949792 ],
       [ 0.34046887,  0.89510774, -0.28785949]]), array([ 0.33502845,  0.89776877, -0.2859496 ]))]"
9,ch2_tmc_nca_20200131T1010006367_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200131/ch2_tmc_nca_20200131T1010006367_b_brw_d18.png,"(array([69.96361 , 69.463782, 68.706832, 69.344413, 69.96361 ]), array([ -3.088126, -33.389256, -33.376474,  -3.077869,  -3.088126]))","SingleSphericalPolygon(array([[ 0.34211937,  0.93811095, -0.05387187],
       [ 0.29290034,  0.78189046, -0.55032418],
       [ 0.30324882,  0.77806712, -0.5501379 ],
       [ 0.35224078,  0.93436796, -0.05369312],
       [ 0.34211937,  0.93811095, -0.05387187]]), array([ 0.3343116 ,  0.88900918, -0.31288725]))",ch2_ohr_ncp_20190906T1246532096_d_img_d18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20190906/ch2_ohr_ncp_20190906T1246532096_b_brw_d18.png,"(array([71.445725, 69.299801, 69.174869, 71.334305, 71.445725]), array([-14.735024, -17.15629 , -16.72985 , -14.323756, -14.735024]))","SingleSphericalPolygon(array([[ 0.30773793,  0.91684452, -0.25434917],
       [ 0.33774962,  0.89381904, -0.2949792 ],
       [ 0.34046887,  0.89510774, -0.28785949],
       [ 0.31009662,  0.91795041, -0.24740077],
       [ 0.30773793,  0.91684452, -0.25434917]]), array([ 0.32421149,  0.90627828, -0.27119475]))","(array([69.76128212, 69.299801  , 69.174869  , 69.77017686, 69.76128212]), array([-16.64239205, -17.15629   , -16.72985   , -16.0743106 ,
       -16.64239205]))","[SingleSphericalPolygon(array([[ 0.33144153,  0.89895666, -0.28639733],
       [ 0.33774962,  0.89381904, -0.2949792 ],
       [ 0.34046887,  0.89510774, -0.28785949],
       [ 0.33226757,  0.90162831, -0.27688385],
       [ 0.33144153,  0.89895666, -0.28639733]]), array([ 0.33502612,  0.89777063, -0.28594648]))]"
10,ch2_tmc_ncf_20200212T2045445780_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200212/ch2_tmc_ncf_20200212T2045445780_b_brw_d18.png,"(array([235.753017,  86.554384,  88.436142, 214.014655, 235.753017]), array([-88.534193, -61.602033, -61.563313, -87.962788, -88.534193]))","SingleSphericalPolygon(array([[-0.01439564, -0.02114523, -0.99967277],
       [ 0.02858366,  0.47473326, -0.87966545],
       [ 0.01299567,  0.47600999, -0.87934385],
       [-0.02946601, -0.01988604, -0.99936795],
       [-0.01439564, -0.02114523, -0.99967277]]), array([-7.24141635e-04,  2.35280242e-01, -9.71927303e-01]))",ch2_ohr_ncp_20220129T0150171705_d_img_d18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20220129/ch2_ohr_ncp_20220129T0150171705_b_brw_d18.png,"(array([191.771039, 219.7999  , 196.58624 , 186.258058, 191.771039]), array([-88.954023, -89.750728, -89.793474, -88.963442, -88.954023]))","SingleSphericalPolygon(array([[-0.01787084, -0.00372399, -0.99983337],
       [-0.0033425 , -0.00278486, -0.99999054],
       [-0.00345457, -0.00102895, -0.9999935 ],
       [-0.01798256, -0.00197197, -0.99983636],
       [-0.01787084, -0.00372399, -0.99983337]]), array([-0.01066299, -0.00237653, -0.99994032]))","(array([187.29090067, 186.258058  , 191.771039  , 194.76421442,
       187.29090067]), array([-89.26250831, -88.963442  , -88.954023  , -89.23472577,
       -89.26250831]))","[SingleSphericalPolygon(array([[-0.01276723, -0.00163346, -0.99991716],
       [-0.01798256, -0.00197197, -0.99983636],
       [-0.01787084, -0.00372399, -0.99983337],
       [-0.01291517, -0.00340371, -0.9999108 ],
       [-0.01276723, -0.00163346, -0.99991716]]), array([-0.01544892, -0.00268785, -0.99987705]))]"
11,ch2_tmc_ncf_20200212T2045445780_b_brw_d18.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20200212/ch2_tmc_ncf_20200212T2045445780_b_brw_d18.png,"(array([235.753017,  86.554384,  88.436142, 214.014655, 235.753017]), array([-88.534193, -61.602033, -61.563313, -87.962788, -88.534193]))","SingleSphericalPolygon(array([[-0.01439564, -0.02114523, -0.99967277],
       [ 0.02858366,  0.47473326, -0.87966545],
       [ 0.01299567,  0.47600999, -0.87934385],
       [-0.02946601, -0.01988604, -0.99936795],
       [-0.01439564, -0.02114523, -0.99967277]]), array([-7.24141635e-04,  2.35280242e-01, -9.71927303e-01]))",ch2_ohr_ncp_20220128T0018149733_d_img_d18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20220128/ch2_ohr_ncp_20220128T0018149733_b_brw_d18.png,"(array([212.889392, 239.887491, 228.93109 , 208.023841, 212.889392]), array([-88.772235, -89.522128, -89.585552, -88.795326, -88.772235]))","SingleSphericalPolygon(array([[-0.01799261, -0.01163521, -0.99977042],
       [-0.00418435, -0.00721475, -0.99996522],
       [-0.00475211, -0.00545342, -0.99997384],
       [-0.01855896, -0.00987788, -0.99977897],
       [-0.01799261, -0.01163521, -0.99977042]]), array([-0.01137266, -0.00854455, -0.99989882]))","(array([212.889392  , 217.08642491, 211.61843501, 208.023841  ,
       212.889392  ]), array([-88.772235  , -89.03162134, -89.10404307, -88.795326  ,
       -88.772235  ]))","[SingleSphericalPolygon(array([[-0.01799261, -0.01163521, -0.99977042],
       [-0.01348206, -0.01019138, -0.99985717],
       [-0.01331561, -0.00819773, -0.99987774],
       [-0.01855896, -0.00987788, -0.99977897],
       [-0.01799261, -0.01163521, -0.99977042]]), array([-0.01602056, -0.01003466, -0.99982131]))]"
12,ch2_tmc_ncn_20201126T1808573675_b_brw_d32.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20201126/ch2_tmc_ncn_20201126T1808573675_b_brw_d32.png,"(array([69.565825, 70.225211, 69.843984, 69.080702, 69.565825]), array([ -4.781387,  -4.791695, -29.964418, -29.952263,  -4.781387]))","SingleSphericalPolygon(array([[ 0.34791606,  0.93381288, -0.08335412],
       [ 0.33714144,  0.93774081, -0.0835334 ],
       [ 0.29851993,  0.81327946, -0.49946208],
       [ 0.30936528,  0.80932955, -0.49927828],
       [ 0.34791606,  0.93381288, -0.08335412]]), array([ 0.33118415,  0.89507593, -0.29859026]))",ch2_ohr_ncp_20190906T1246532096_d_img_d18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20190906/ch2_ohr_ncp_20190906T1246532096_b_brw_d18.png,"(array([71.445725, 69.299801, 69.174869, 71.334305, 71.445725]), array([-14.735024, -17.15629 , -16.72985 , -14.323756, -14.735024]))","SingleSphericalPolygon(array([[ 0.30773793,  0.91684452, -0.25434917],
       [ 0.33774962,  0.89381904, -0.2949792 ],
       [ 0.34046887,  0.89510774, -0.28785949],
       [ 0.31009662,  0.91795041, -0.24740077],
       [ 0.30773793,  0.91684452, -0.25434917]]), array([ 0.32421149,  0.90627828, -0.27119475]))","(array([69.35590128, 70.07200254, 70.06376002, 69.3451176 , 69.35590128]), array([-16.53114703, -15.7396414 , -16.30349331, -17.1059964 ,
       -16.53114703]))","[SingleSphericalPolygon(array([[ 0.33798892,  0.89710783, -0.28453653],
       [ 0.32805898,  0.90487116, -0.27126644],
       [ 0.32726303,  0.90227061, -0.28072523],
       [ 0.33713377,  0.89432783, -0.29414035],
       [ 0.33798892,  0.89710783, -0.28453653]]), array([ 0.33263247,  0.89970679, -0.2826364 ]))]"
13,ch2_tmc_ncf_20201126T1808573643_b_brw_d32.png,/content/drive/MyDrive/Moon Mapping/DataSet/TMC/browse_calibrated_2020/dir_2020/20201126/ch2_tmc_ncf_20201126T1808573643_b_brw_d32.png,"(array([69.498899, 70.235295, 69.849313, 68.985229, 69.498899]), array([ -6.32986 ,  -6.340601, -31.526112, -31.51208 ,  -6.32986 ]))","SingleSphericalPolygon(array([[ 0.34809028,  0.9309552 , -0.1102523 ],
       [ 0.33608973,  0.93533256, -0.11043863],
       [ 0.29364423,  0.80022631, -0.52288709],
       [ 0.3057246 ,  0.79582652, -0.52267832],
       [ 0.34809028,  0.9309552 , -0.1102523 ]]), array([ 0.32878444,  0.88694862, -0.32438084]))",ch2_ohr_ncp_20190906T1246532096_d_img_d18.xml,/content/drive/MyDrive/Moon Mapping/DataSet/OHRC/files/browse/calibrated/20190906/ch2_ohr_ncp_20190906T1246532096_b_brw_d18.png,"(array([71.445725, 69.299801, 69.174869, 71.334305, 71.445725]), array([-14.735024, -17.15629 , -16.72985 , -14.323756, -14.735024]))","SingleSphericalPolygon(array([[ 0.30773793,  0.91684452, -0.25434917],
       [ 0.33774962,  0.89381904, -0.2949792 ],
       [ 0.34046887,  0.89510774, -0.28785949],
       [ 0.31009662,  0.91795041, -0.24740077],
       [ 0.30773793,  0.91684452, -0.25434917]]), array([ 0.32421149,  0.90627828, -0.27119475]))","(array([70.09646507, 69.299801  , 69.2967834 , 69.30773802, 70.10464103,
       70.09646507]), array([-16.26675355, -17.15629   , -17.14601354, -16.58406702,
       -15.70335973, -16.26675355]))","[SingleSphericalPolygon(array([[ 0.32680916,  0.90262634, -0.28010973],
       [ 0.33774962,  0.89381904, -0.2949792 ],
       [ 0.33781539,  0.89385072, -0.29480782],
       [ 0.33864991,  0.89657716, -0.28542186],
       [ 0.32760186,  0.90521924, -0.2706569 ],
       [ 0.32680916,  0.90262634, -0.28010973]]), array([ 0.33273806,  0.8996248 , -0.28277304]))]"
